Position,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,Tetris    ,Series,Nintendo  ,Alexey Pajitnov  ,N/A  ,N/A  ,N/A  ,496.40m,N/A,N/A,N/A,N/A,N/A,31st Jul 89  ,27th Feb 20
2,Pokemon    ,Series,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,452.94m,N/A,N/A,N/A,N/A,N/A,28th Sep 98  ,03rd Feb 20
3,Call of Duty    ,Series,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,400.00m,N/A,N/A,N/A,N/A,N/A,29th Oct 03  ,03rd Feb 20
4,Super Mario    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,394.96m,N/A,N/A,N/A,N/A,N/A,20th Jul 83  ,20th Feb 20
5,Grand Theft Auto    ,Series,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,385.00m,N/A,N/A,N/A,N/A,N/A,27th Mar 98  ,03rd Feb 20
6,FIFA    ,Series,EA Sports  ,Extended Play Productions (1991-1997)  ,N/A  ,N/A  ,N/A  ,325.00m,N/A,N/A,N/A,N/A,N/A,15th Dec 93  ,03rd Feb 20
7,Minecraft    ,Series,Mojang  ,Mojang  ,N/A  ,N/A  ,N/A  ,238.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11  ,08th Feb 20
8,Minecraft    ,All,Mojang  ,Mojang AB  ,N/A  ,N/A  ,N/A  ,238.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11  ,08th Oct 20
9,Lego    ,Series,Mindscape  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,203.22m,N/A,N/A,N/A,N/A,N/A,26th Sep 97  ,01st Mar 20
10,Assassin's Creed    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,200.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 07  ,11th Feb 20
11,The Sims    ,Series,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,200.00m,N/A,N/A,N/A,N/A,N/A,04th Feb 00  ,18th Feb 20
12,Final Fantasy    ,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,173.00m,N/A,N/A,N/A,N/A,N/A,18th Dec 87  ,28th Feb 20
13,Grand Theft Auto V    ,All,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,170.00m,N/A,N/A,N/A,N/A,N/A,17th Sep 13  ,08th Oct 20
14,Mario Kart    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,169.82m,N/A,N/A,N/A,N/A,N/A,01st Sep 92  ,20th Feb 20
15,Need for Speed    ,Series,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,150.00m,N/A,N/A,N/A,N/A,N/A,31st Aug 94  ,24th Feb 20
